nr,BaboonID,Ncollars,Date,Distance,SL,Sinuosity,RT,GG,RG,Repstate,fT3,Sex,Rank,Daylength,socopp
1,A,7,26/07/2018,6.62,3.323454629,0.284252419,4,NA,NA,CYC,47.3,F,0.22222222,10.28333333,72
2,A,7,27/07/2018,11.22,NA,NA,NA,9257,3620,CYC,NA,F,0.22222222,10.31666667,12
3,A,7,28/07/2018,10.11,4.092528187,0.303866407,3,6193,6274,CYC,NA,F,0.22222222,10.35,110
4,A,7,29/07/2018,12.62,2.043587662,0.489867943,2.5,6159,8608,CYC,46.3,F,0.22222222,10.35,75
5,A,10,30/07/2018,10.31,NA,NA,NA,7858,9257,CYC,NA,F,0.22222222,10.38333333,225
6,A,10,31/07/2018,11.7,1.406245057,0.472353902,10,7911,8066,CYC,NA,F,0.22222222,10.41666667,246
7,A,10,01/08/2018,12.04,NA,NA,NA,8084,8517,CYC,NA,F,0.22222222,10.43333333,194
8,A,13,02/08/2018,10.47,3.437183264,0.309750385,3,4859,7398,CYC,NA,F,0.22222222,10.46666667,173
9,A,13,03/08/2018,9.16,0.907096745,0.812230212,15,8777,12131,CYC,NA,F,0.22222222,10.48333333,324
10,A,13,04/08/2018,9.34,NA,NA,NA,6117,4743,CYC,NA,F,0.22222222,10.51666667,153
11,A,13,05/08/2018,9.98,4.995058896,0.41417546,2,7673,8792,CYC,48.2,F,0.22222222,10.53333333,173
12,A,13,06/08/2018,9.34,NA,NA,NA,10242,7231,CYC,40,F,0.22222222,10.56666667,123
13,A,13,07/08/2018,11.49,0.981055777,0.340626018,12,5779,5850,CYC,NA,F,0.22222222,10.6,180
14,A,13,08/08/2018,9.48,NA,NA,NA,9472,5317,CYC,NA,F,0.22222222,10.61666667,213
15,A,13,09/08/2018,11.07,3.38561418,0.358047256,3,7940,5396,CYC,43.85,F,0.22222222,10.65,208
16,A,13,10/08/2018,9.27,1.292204046,0.429602148,5,8901,3273,CYC,NA,F,0.22222222,10.68333333,118
17,A,12,11/08/2018,NA,1.565133921,0.655923835,11,6908,7081,CYC,61.4,F,0.22222222,10.7,NA
18,A,13,12/08/2018,12.22,NA,NA,NA,7139,11977,CYC,NA,F,0.22222222,10.73333333,252
19,A,13,13/08/2018,13.1,3.349609449,0.364783502,3,7620,3717,CYC,70.8,F,0.22222222,10.76666667,47
20,A,13,14/08/2018,8.84,NA,NA,NA,9854,10747,CYC,46.7,F,0.22222222,10.8,327
21,A,13,15/08/2018,9.07,2.783369421,0.436497346,4,8498,6042,CYC,NA,F,0.22222222,10.81666667,184
22,A,12,16/08/2018,15.53,4.286584931,0.348199628,2,5174,5453,CYC,44.6,F,0.22222222,10.85,110
23,A,12,17/08/2018,11.32,4.626684221,0.320026025,2,10198,5767,CYC,NA,F,0.22222222,10.88333333,229
24,A,12,18/08/2018,12.28,6.50574318,0.308268828,2,7290,4426,CYC,NA,F,0.22222222,10.9,233
25,A,12,19/08/2018,10.56,2.559396538,0.403005925,10,7252,5831,CYC,NA,F,0.22222222,10.95,172
26,A,12,20/08/2018,11.08,NA,NA,NA,8810,4875,CYC,35.3,F,0.22222222,10.98333333,136
27,A,12,21/08/2018,11.57,4.534879296,0.298789942,2,8130,2950,CYC,NA,F,0.22222222,11,98
28,A,12,22/08/2018,15.68,NA,NA,NA,5788,7113,CYC,59.9,F,0.22222222,11.03333333,188
29,A,12,23/08/2018,10.1,1.242289557,0.500134011,11,9867,3891,CYC,NA,F,0.22222222,11.06666667,150
30,A,12,24/08/2018,11.09,3.215662911,0.394625579,3,9145,2777,CYC,NA,F,0.22222222,11.1,79
31,A,12,25/08/2018,10.82,NA,NA,NA,4995,7088,CYC,NA,F,0.22222222,11.13333333,198
32,A,11,26/08/2018,12.37,9.70606323,0.235067827,1,5417,6608,CYC,57.2,F,0.22222222,11.16666667,120
33,A,11,27/08/2018,11.21,NA,NA,NA,5432,11611,CYC,NA,F,0.22222222,11.2,154
34,A,11,28/08/2018,12.26,4.084041186,0.279826281,2,5779,8597,CYC,NA,F,0.22222222,11.23333333,89
35,A,11,29/08/2018,10.54,NA,NA,NA,10120,9186,PREG,43.2,F,0.22222222,11.26666667,151
36,A,11,30/08/2018,11.27,5.046502263,0.361455085,2,9162,4105,PREG,NA,F,0.22222222,11.3,101
37,A,11,31/08/2018,10.52,4.01590223,0.294821372,3,8532,6214,PREG,NA,F,0.22222222,11.31666667,148
38,A,11,01/09/2018,9.8,3.154785161,0.343725831,3,7397,7193,PREG,NA,F,0.22222222,11.36666667,105
39,A,11,02/09/2018,14.43,2.564628169,0.356603018,3.5,6240,7131,PREG,NA,F,0.22222222,11.4,69
40,A,11,03/09/2018,11.86,NA,NA,NA,7527,7305,PREG,65,F,0.22222222,11.41666667,144
